company_id,company_name,type,focus_area,portfolio,strategy
1,NovaBioTech,biotech,oncology,"NeoMAP; CellRepair-2; MicroTargetX","ускоренное внедрение ранних научных разработок"
2,PharmaMax Global,big_pharma,autoimmune,"ImmunoBalance; RegenaPlus; SymptoClear","быстрый вывод коммерчески перспективных препаратов"
3,HelixThera,biotech,neurology,"NeuroGen; SynapRestore","поиск нишевых инноваций для нейродегенеративных болезней"
4,MediCore Pharma,big_pharma,cardiology,"CardioFlow; BetaGuard; StentX","расширение портфеля для лечения сердечно-сосудистых заболеваний"
5,OncoNova Labs,biotech,oncology,"OncoBlade; ApoptoGene","разработка высокоселективных онкопрепаратов"
6,Immunexia,biotech,immunology,"ThymoLift; CytokineBlock","инновации в иммуномодуляции"
7,GlobalCure Inc,big_pharma,infection,"AntiVira; PanFluShield","масштабирование противовирусных разработок"
8,Regenix Therapeutics,biotech,regenerative,"StemRegen; SkinRebuild","разработка клеточных терапий"
9,CardioPrime,big_pharma,cardiology,"PulseTone; AtheroClean","усиление позиций на рынке кардиологии"
10,NeuroAxis,biotech,neurology,"NeuroRepair; AxonGrow","научные платформы восстановления нервной ткани"
11,MetaGene Pharma,biotech,genetics,"CRISPAX; GeneSwitch","лидерство в генетической терапии"
12,BlueOcean Bio,big_pharma,metabolism,"GlucoseControl; InsuFlex","препараты для метаболических заболеваний"
13,OncoSphere,biotech,oncology,"TumorBreak; InhibiMAP","убежище инновационных таргетных препаратов"
14,PrimeThera,big_pharma,dermatology,"DermaShield; SkinImmune","экспансия в область аутоиммунных дерматозов"
15,AstraVita,biotech,infection,"MicroBlock; ViralStop-X","разработка антибиотиков нового поколения"
16,Cytogenix,biotech,oncology,"Cytotarget; PhaseZero","инновационные онкопрепараты для ранних стадий"
17,ImmunoForge,big_pharma,immunology,"ImmunoGuard; LymphoCalm","поддержка иммунологических программ"
18,Rejuvena Bio,biotech,aging,"AgeBlock-1; Telomera","терапии замедления старения"
19,BioQuantum Labs,biotech,rare_diseases,"OrphaGene; RareHeal","разработка препаратов для орфанных заболеваний"
20,ThermoGen Pharma,big_pharma,metabolism,"LipoTerm; EndoBalance","активное расширение в метаболическую терапию"
21,NeuroPulse,biotech,neurology,"SynapseLift; NeuroChain","терапии для когнитивных нарушений"
22,CardiaGenix,big_pharma,cardiology,"AortaFix; VentriFlow","комплексные решения для сердечной терапии"
23,ImmunXcellence,biotech,immunology,"CytokineZero; ImmunoRise","разработка иммунных платформ"
24,GloboPharm,big_pharma,onco_immune,"PanOnco; CheckPointX","лидерство в онкоиммунологии"
25,RegenaCell,biotech,regenerative,"CellMatrix; HealCore","восстановительные клеточные препараты"
26,ViroTech Solutions,biotech,infection,"AntiRNA; ViralBreak","терапии на основе РНК-интерференции"
27,PharmAlliance,big_pharma,rare_diseases,"OrphanPlus; GenoCare","масштабирование редких заболеваний"
28,OncoRise Therapeutics,biotech,oncology,"BclBlock; TumorFade","ранние экспериментальные препараты"
29,MediSphere,big_pharma,dermatology,"SkinMax; BarrierPlus","увеличение портфеля дерматологии"
30,NeuroCortex Labs,biotech,neurology,"BrainFix; CortexNova","инновации в лечении когнитивных расстройств"
31,ImmuneFrontier,biotech,immunology,"ImmuneReset; AutoBlock","терапии аутоиммунных заболеваний"
32,InfectaPharm,big_pharma,infection,"ShieldX; ViraStop","борьба с высококонтагиозными инфекциями"
33,GeneBridge Bio,biotech,genetics,"GenomeLift; EditPrime","редактирование генов нового поколения"
34,OncoBridge,big_pharma,oncology,"NeoOnco; ProtoBlock","коммерческое развитие онкопрепаратов"
35,BioEterna,biotech,aging,"REPAIR-X; Longevix","биомедицинские решения долголетия"
36,CardioBio Dynamics,biotech,cardiology,"VesselGrow; MyoRepair","восстановление сердечной ткани"
37,PharmaHelix,big_pharma,neurology,"NeuroBalance; SynaptoMax","нейродегенеративные программы"
38,ImmunaCore,biotech,immunology,"TCellPrime; MHC-Tune","иммунные клеточные технологии"
39,Dermalux Pharma,big_pharma,dermatology,"EczemaFix; SkinBarrier-X","препараты для хронических кожных заболеваний"
40,NanoGen Labs,biotech,nanomedicine,"NanoTarget; NanoDelivery","нанотерапии направленной доставки"
41,OncoVector Pharma,big_pharma,oncology,"VectorBlock; OncoMax","масштабирование онкотерапий"
42,BioCrystal,biotech,rare_diseases,"OrphaCrystal; GenoPatch","улучшение лечения редких болезней"
43,TheraSphere,big_pharma,regenerative,"RegenRepair; TissueX","тканеинженерные решения"
44,ImmuneNova,biotech,autoimmune,"AutoClear; ImmunoTune","терапии иммунной перегрузки"
45,PharmacoMira,big_pharma,metabolism,"InsuPro; GlucoFlex","доступные препараты для диабета"
46,OncoCellix,biotech,oncology,"CellKill; TumorSoft","молекулы нового поколения против опухолей"
47,RegenThera,biotech,regenerative,"TissueGrow; SkinNova","инновации в регенеративной медицине"
48,MetaNeuro,big_pharma,neurology,"Neuronex; BrainFlow","улучшение лечения болезни Альцгеймера"
49,ViraNova Bio,biotech,infection,"AntiPath; InfluenSure","противовирусные препараты"
50,PrimeAutoImmune,big_pharma,autoimmune,"ImmunoStop; SystemaBlock","масштабирование программ по аутоиммунным заболеваниям"
