drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,market_size_million,competition_level
D00001,prostate_cancer,EGFR,0,1,0.522,519.7,2.89,7.256,4
D00002,prostate_cancer,HER2,0,1,0.416,531.8,4.22,6.843,8
D00003,ovarian_cancer,ALK,0,0,0.758,461.3,2.81,7.208,14
D00004,breast_cancer,mTOR,1,0,0.779,606.3,3.61,23.193,14
D00005,colon_cancer,PD1,0,0,0.879,442.4,3.43,20.049,3
D00006,melanoma,EGFR,1,1,0.702,442.9,2.63,9.036,15
D00007,ovarian_cancer,EGFR,1,0,0.676,499.4,1.47,7.976,20
D00008,colon_cancer,ALK,0,0,0.423,342.0,2.55,18.418,10
D00009,lung_cancer,BRAF,0,0,0.59,399.0,3.25,36.335,12
D00010,breast_cancer,PD1,1,0,0.735,407.4,1.87,34.036,3
D00011,ovarian_cancer,HER2,0,0,0.482,597.3,2.82,5.277,18
D00012,breast_cancer,HER2,1,0,0.515,485.4,1.86,20.642,11
D00013,melanoma,PD1,0,0,0.857,436.4,3.09,7.836,11
D00014,breast_cancer,HER2,1,1,0.842,387.9,3.3,32.857,5
D00015,colon_cancer,VEGF,0,1,0.774,431.9,2.77,21.427,19
D00016,melanoma,PD1,0,0,0.655,431.9,4.48,5.455,2
D00017,lung_cancer,VEGF,0,1,0.698,478.9,2.15,34.619,20
D00018,melanoma,ALK,1,0,0.74,545.8,2.02,5.573,18
D00019,colon_cancer,BRAF,1,0,0.547,496.7,1.43,17.372,1
D00020,prostate_cancer,HER2,1,0,0.654,373.7,3.16,6.958,10
D00021,prostate_cancer,ALK,0,0,0.587,539.1,3.14,7.454,17
D00022,lung_cancer,ALK,1,1,0.41,470.7,2.76,48.227,10
D00023,breast_cancer,EGFR,0,0,0.443,361.7,2.42,29.72,3
D00024,ovarian_cancer,BRAF,0,0,0.73,443.1,3.85,8.681,6
D00025,colon_cancer,ALK,1,0,0.864,507.5,1.59,26.329,7
D00026,prostate_cancer,PD1,1,1,0.619,505.9,2.69,10.658,4
D00027,breast_cancer,VEGF,0,1,0.411,425.8,3.49,31.078,19
D00028,breast_cancer,EGFR,0,0,0.514,562.5,3.75,38.108,11
D00029,lung_cancer,ALK,0,1,0.734,412.9,2.75,30.356,5
D00030,prostate_cancer,ALK,1,0,0.792,506.5,3.78,13.267,7
D00031,lung_cancer,EGFR,1,1,0.612,441.7,2.85,36.676,2
D00032,prostate_cancer,HER2,0,0,0.601,391.5,2.04,9.054,4
D00033,breast_cancer,VEGF,0,1,0.47,545.0,4.08,23.67,15
D00034,breast_cancer,BRAF,0,1,0.804,474.2,3.8,37.119,4
D00035,lung_cancer,HER2,0,0,0.863,508.9,2.48,46.217,6
D00036,melanoma,mTOR,1,0,0.832,508.9,4.23,9.512,6
D00037,melanoma,EGFR,1,1,0.863,477.1,4.25,8.926,10
D00038,melanoma,HER2,1,0,0.495,300.0,3.66,6.089,2
D00039,ovarian_cancer,HER2,0,1,0.429,487.0,2.76,6.505,17
D00040,ovarian_cancer,VEGF,0,0,0.826,487.3,1.41,3.411,3
D00041,prostate_cancer,BRAF,0,1,0.46,462.4,3.29,14.013,8
D00042,ovarian_cancer,ALK,0,0,0.61,598.2,2.59,6.502,17
D00043,colon_cancer,PD1,0,1,0.519,415.3,2.6,20.937,10
D00044,melanoma,PD1,0,0,0.629,553.2,3.26,9.992,4
D00045,lung_cancer,ALK,0,1,0.466,437.6,3.41,33.725,3
D00046,breast_cancer,PD1,1,0,0.619,487.8,3.77,30.864,10
D00047,ovarian_cancer,BRAF,0,1,0.866,423.8,2.74,3.622,5
