drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,potential_label,toxicity_label,market_size_million,competition_level,expected_profit_score,success_probability,traditional_time_years,ai_time_years
D00001,prostate_cancer,EGFR,0,1,0.522,519.7,2.89,0,0,14935,1,0.465,0.346,8,1
D00002,lung_cancer,VEGF,0,0,0.681,531.8,4.22,1,0,38746,6,0.709,0.517,10,1
D00003,breast_cancer,HER2,1,1,0.539,461.3,2.81,1,1,23349,3,0.412,0.271,10,2
D00004,ovarian_cancer,PD1,0,1,0.668,606.3,3.61,0,1,7522,3,0.158,0.152,12,2
D00005,ovarian_cancer,VEGF,0,0,0.731,442.4,3.43,1,0,4907,1,0.59,0.425,11,3
D00006,colon_cancer,VEGF,1,1,0.505,442.9,2.63,1,1,25617,3,0.423,0.3,9,3
D00007,prostate_cancer,VEGF,0,1,0.59,499.4,1.47,0,1,9598,3,0.168,0.158,14,1
D00008,breast_cancer,BRAF,0,1,0.601,342.0,2.55,0,1,38585,10,0.243,0.178,13,2
D00009,melanoma,HER2,1,0,0.532,399.0,3.25,1,0,7152,5,0.561,0.436,12,2
D00010,colon_cancer,VEGF,0,1,0.445,407.4,1.87,0,0,25280,4,0.486,0.392,11,3
D00011,lung_cancer,mTOR,1,1,0.665,597.3,2.82,1,1,25376,8,0.372,0.311,13,3
D00012,colon_cancer,BRAF,1,0,0.547,485.4,1.86,2,0,26830,8,0.804,0.593,12,1
D00013,ovarian_cancer,EGFR,1,0,0.476,436.4,3.09,2,0,7344,1,0.777,0.578,11,1
D00014,lung_cancer,PD1,1,0,0.429,387.9,3.3,2,0,27806,8,0.809,0.618,8,3
D00015,breast_cancer,VEGF,1,0,0.533,431.9,2.77,2,0,26940,7,0.815,0.643,13,1
D00016,prostate_cancer,PD1,1,1,0.619,431.9,4.48,1,1,9681,1,0.363,0.233,12,3
D00017,breast_cancer,ALK,0,0,0.435,478.9,2.15,1,0,21029,5,0.63,0.435,9,2
D00018,prostate_cancer,mTOR,0,0,0.762,545.8,2.02,1,0,9981,4,0.585,0.481,9,1
D00019,lung_cancer,HER2,1,1,0.612,496.7,1.43,1,1,47064,10,0.46,0.391,8,1
D00020,melanoma,HER2,1,0,0.524,373.7,3.16,1,0,8456,2,0.597,0.424,9,1
D00021,melanoma,BRAF,0,0,0.726,539.1,3.14,1,0,5764,2,0.584,0.406,11,2
D00022,breast_cancer,BRAF,1,0,0.482,470.7,2.76,2,0,34909,7,0.855,0.63,13,3
D00023,prostate_cancer,HER2,1,0,0.495,361.7,2.42,1,0,14883,1,0.639,0.487,8,1
D00024,ovarian_cancer,mTOR,0,0,0.88,443.1,3.85,1,0,7874,1,0.604,0.462,9,2
D00025,lung_cancer,ALK,0,0,0.71,507.5,1.59,1,0,42130,7,0.716,0.574,9,3
D00026,prostate_cancer,PD1,0,1,0.598,505.9,2.69,0,0,11180,1,0.446,0.279,12,3
D00027,lung_cancer,EGFR,0,1,0.466,425.8,3.49,0,0,33004,7,0.495,0.361,11,3
D00028,prostate_cancer,PD1,0,1,0.866,562.5,3.75,0,1,10333,1,0.192,0.165,13,3
D00029,breast_cancer,PD1,1,0,0.759,412.9,2.75,2,0,28650,7,0.823,0.62,14,1
D00030,lung_cancer,HER2,1,1,0.422,506.5,3.78,1,1,33583,6,0.433,0.333,12,3
D00031,melanoma,ALK,0,0,0.438,441.7,2.85,1,0,9469,1,0.612,0.482,12,3
D00032,breast_cancer,mTOR,0,0,0.554,391.5,2.04,1,0,21307,5,0.632,0.449,9,3
D00033,lung_cancer,PD1,1,0,0.863,545.0,4.08,2,0,30801,8,0.824,0.579,13,2
D00034,melanoma,BRAF,0,1,0.48,474.2,3.8,0,1,5317,4,0.137,0.086,14,2
D00035,colon_cancer,PD1,0,0,0.412,508.9,2.48,0,0,29161,3,0.516,0.42,10,2
D00036,prostate_cancer,ALK,1,1,0.87,508.9,4.23,1,1,8925,5,0.32,0.294,10,1
D00037,lung_cancer,ALK,1,1,0.764,477.1,4.25,1,1,41758,5,0.484,0.318,12,1
D00038,colon_cancer,EGFR,1,0,0.66,300.0,3.66,2,0,27156,8,0.806,0.635,10,2
D00039,lung_cancer,HER2,1,1,0.732,487.0,2.76,1,1,41617,7,0.463,0.346,10,2
D00040,prostate_cancer,PD1,0,0,0.61,487.3,1.41,1,0,8851,5,0.569,0.454,11,3
D00041,lung_cancer,PD1,1,0,0.615,462.4,3.29,2,0,40236,8,0.871,0.645,9,3
D00042,melanoma,BRAF,0,0,0.542,598.2,2.59,0,0,5765,2,0.409,0.332,9,1
D00043,breast_cancer,EGFR,0,0,0.892,415.3,2.6,1,0,34923,8,0.67,0.551,12,1
D00044,prostate_cancer,HER2,1,1,0.6,553.2,3.26,1,1,7746,4,0.324,0.216,14,3
D00045,ovarian_cancer,mTOR,0,0,0.859,437.6,3.41,1,0,6806,5,0.559,0.491,12,2
D00046,melanoma,ALK,1,1,0.849,487.8,3.77,2,1,7123,2,0.516,0.402,10,3
D00047,melanoma,HER2,0,1,0.62,423.8,2.74,0,0,7751,3,0.409,0.359,8,1
D00048,breast_cancer,VEGF,1,0,0.753,448.6,1.83,2,0,37780,8,0.859,0.636,9,2
D00049,melanoma,BRAF,0,1,0.638,503.7,3.21,1,0,8194,4,0.576,0.449,13,3
D00050,ovarian_cancer,VEGF,1,0,0.536,480.4,2.81,2,0,8479,4,0.752,0.594,14,2
D00051,breast_cancer,ALK,0,1,0.696,366.8,2.66,0,0,34044,6,0.51,0.422,9,1
D00052,colon_cancer,mTOR,1,0,0.627,452.6,2.36,2,0,19558,6,0.788,0.574,8,2
D00053,lung_cancer,HER2,0,1,0.512,467.1,3.32,0,1,26319,3,0.252,0.211,9,1
D00054,ovarian_cancer,VEGF,0,0,0.637,630.9,3.14,0,0,6809,3,0.404,0.344,9,3
D00055,ovarian_cancer,HER2,0,0,0.882,500.6,2.94,1,0,5555,5,0.553,0.457,11,2
D00056,prostate_cancer,VEGF,0,0,0.451,326.5,2.98,0,0,7983,5,0.39,0.348,10,3
D00057,melanoma,HER2,1,0,0.653,484.8,4.97,2,0,9015,1,0.785,0.566,10,3
D00058,melanoma,HER2,0,1,0.488,464.6,3.24,0,1,9408,4,0.157,0.12,14,3
D00059,ovarian_cancer,PD1,1,0,0.815,477.2,2.07,2,0,4997,4,0.735,0.569,13,2
D00060,colon_cancer,EGFR,1,1,0.491,571.4,3.6,0,1,20576,5,0.203,0.189,13,2
D00061,ovarian_cancer,EGFR,0,0,0.521,543.3,2.27,1,0,4968,4,0.56,0.452,11,2
D00062,lung_cancer,EGFR,1,0,0.602,592.2,1.88,1,0,37092,8,0.68,0.523,10,2
D00063,prostate_cancer,ALK,1,1,0.751,526.9,4.75,1,1,7976,2,0.345,0.226,13,3
D00064,prostate_cancer,VEGF,0,0,0.769,400.8,2.55,1,0,14595,5,0.598,0.44,8,1
D00065,colon_cancer,VEGF,1,0,0.551,488.0,2.6,2,0,15745,3,0.799,0.595,13,1
D00066,prostate_cancer,BRAF,1,0,0.836,355.9,3.05,2,0,13216,3,0.786,0.551,8,2
D00067,melanoma,EGFR,0,1,0.646,395.0,3.38,0,1,6242,2,0.161,0.147,10,1
D00068,breast_cancer,EGFR,1,0,0.788,406.4,4.24,2,0,29743,7,0.829,0.673,10,3
D00069,ovarian_cancer,EGFR,0,0,0.713,417.3,2.74,1,0,4964,2,0.58,0.443,9,1
D00070,melanoma,mTOR,1,1,0.416,545.1,2.02,1,0,8719,1,0.609,0.466,10,3
D00071,ovarian_cancer,HER2,0,1,0.457,498.2,4.05,0,1,5176,2,0.156,0.07,9,2
D00072,ovarian_cancer,HER2,1,1,0.462,351.4,3.15,1,1,5230,5,0.301,0.242,11,1
D00073,ovarian_cancer,EGFR,1,1,0.702,500.8,3.63,1,1,8523,5,0.318,0.255,8,3
D00074,colon_cancer,ALK,0,0,0.635,381.0,1.94,1,0,17973,7,0.595,0.464,14,2
D00075,lung_cancer,mTOR,1,1,0.567,521.8,3.24,2,1,35807,8,0.599,0.459,10,3
D00076,melanoma,BRAF,0,1,0.444,500.0,3.28,0,0,8311,5,0.392,0.353,8,3
D00077,ovarian_cancer,mTOR,1,0,0.494,425.6,3.19,2,0,8123,4,0.751,0.596,9,2
D00078,ovarian_cancer,VEGF,1,1,0.84,503.4,2.43,2,0,8161,5,0.741,0.6,13,1
D00079,colon_cancer,ALK,0,1,0.447,629.3,3.38,0,1,22560,3,0.233,0.171,9,2
D00080,prostate_cancer,PD1,1,1,0.817,384.7,3.53,1,1,8369,4,0.327,0.215,12,3
D00081,prostate_cancer,VEGF,0,1,0.786,402.0,3.63,0,1,14318,3,0.192,0.168,10,3
D00082,colon_cancer,BRAF,1,0,0.623,572.7,2.34,2,0,27498,7,0.817,0.606,10,1
D00083,prostate_cancer,VEGF,1,0,0.828,557.1,3.33,2,0,13749,4,0.779,0.573,13,3
D00084,breast_cancer,mTOR,0,0,0.651,545.8,4.52,1,0,34427,5,0.697,0.514,11,1
D00085,prostate_cancer,VEGF,1,0,0.437,460.4,2.4,2,0,12512,1,0.803,0.616,14,3
D00086,ovarian_cancer,mTOR,1,1,0.836,408.8,2.35,1,0,8170,3,0.586,0.495,13,1
D00087,melanoma,EGFR,0,1,0.483,473.8,3.27,0,0,7657,1,0.428,0.298,10,2
D00088,breast_cancer,VEGF,1,0,0.485,502.1,3.66,1,0,27891,6,0.654,0.536,9,1
D00089,melanoma,HER2,1,1,0.528,481.0,4.16,1,1,7356,5,0.312,0.209,11,2
D00090,ovarian_cancer,PD1,1,1,0.628,458.8,5.18,1,1,6958,1,0.35,0.216,12,2
D00091,ovarian_cancer,PD1,1,0,0.889,530.1,2.31,2,0,7636,1,0.778,0.61,13,2
D00092,colon_cancer,BRAF,0,1,0.51,394.3,3.39,0,0,27379,8,0.457,0.395,13,1
D00093,prostate_cancer,EGFR,0,1,0.794,462.1,3.57,0,1,8153,1,0.181,0.161,10,3
D00094,melanoma,VEGF,0,0,0.793,517.9,2.94,1,0,9110,3,0.591,0.481,10,2
D00095,colon_cancer,HER2,1,0,0.634,412.3,1.79,2,0,18696,8,0.763,0.619,11,3
D00096,colon_cancer,EGFR,1,0,0.532,444.3,3.69,1,0,27271,8,0.631,0.469,11,3
D00097,colon_cancer,EGFR,0,1,0.413,497.1,2.0,0,1,29995,7,0.23,0.147,8,3
D00098,melanoma,HER2,1,1,0.458,493.9,3.31,1,0,9035,1,0.61,0.407,12,1
D00099,melanoma,mTOR,1,1,0.694,409.3,3.12,2,1,5811,4,0.489,0.376,10,1
D00100,prostate_cancer,PD1,0,1,0.622,484.7,2.09,0,0,12018,5,0.41,0.37,13,2
D00101,lung_cancer,mTOR,1,0,0.884,508.6,3.45,2,0,28003,8,0.81,0.591,13,3
D00102,lung_cancer,EGFR,1,0,0.894,566.6,3.84,2,0,43160,6,0.906,0.667,14,1
D00103,colon_cancer,BRAF,0,0,0.539,369.8,2.25,1,0,23850,5,0.644,0.514,8,3
D00104,lung_cancer,VEGF,0,1,0.795,521.2,3.41,0,0,30709,7,0.484,0.332,13,2
D00105,ovarian_cancer,EGFR,0,1,0.624,521.2,6.0,0,1,6702,5,0.134,0.089,12,1
D00106,prostate_cancer,BRAF,1,1,0.722,525.7,3.91,1,1,12580,4,0.348,0.275,11,3
D00107,melanoma,EGFR,0,1,0.704,556.3,3.52,0,1,9795,5,0.149,0.146,11,3
D00108,ovarian_cancer,PD1,1,1,0.45,454.8,3.61,1,1,8332,5,0.317,0.268,9,2
D00109,melanoma,VEGF,1,1,0.814,418.2,2.81,2,1,7560,4,0.498,0.35,10,2
D00110,breast_cancer,HER2,1,0,0.446,441.2,3.07,2,0,32210,6,0.851,0.636,12,3
D00111,ovarian_cancer,PD1,0,1,0.577,665.2,1.51,0,1,8906,1,0.185,0.169,12,2
D00112,colon_cancer,EGFR,0,0,0.728,534.9,1.71,1,0,28850,7,0.649,0.484,14,2
D00113,ovarian_cancer,VEGF,1,0,0.704,442.2,3.87,2,0,3237,2,0.746,0.535,14,2
D00114,colon_cancer,PD1,0,0,0.835,485.1,2.14,1,0,17324,8,0.582,0.482,8,1
D00115,prostate_cancer,ALK,0,1,0.61,422.8,3.54,0,1,11314,5,0.157,0.138,8,1
D00116,breast_cancer,BRAF,0,0,0.536,421.6,3.17,1,0,34484,8,0.667,0.489,14,3
D00117,lung_cancer,PD1,1,0,0.542,483.6,2.48,2,0,46860,7,0.914,0.622,11,3
D00118,lung_cancer,EGFR,0,1,0.873,651.5,3.51,0,1,34484,7,0.252,0.148,11,3
D00119,melanoma,VEGF,0,1,0.666,318.0,3.15,0,1,7901,1,0.18,0.109,13,1
D00120,melanoma,EGFR,1,0,0.831,427.1,3.68,2,0,8421,3,0.762,0.533,8,2
D00121,breast_cancer,BRAF,1,1,0.444,416.6,2.91,1,0,39296,8,0.691,0.526,11,2
