indication,target,efficacy_label
celiac_disease,ALK,2
hiv_aids,ER_alpha,0
cardiomyopathy,p53,1
brain_cancer,TGF_beta,1
anxiety,BTK,0
tuberculosis,TIM3,0
esophageal_cancer,Wnt,2
pancreatic_cancer,ER_alpha,1
influenza,5-HT1A,1
coronary_artery_disease,LAG3,0
copd,ERK,2
lupus,CD20,0
breast_cancer,Hedgehog,2
hyperlipidemia,AP-1,1
cervical_cancer,IL-13,0
kidney_cancer,TOP2,2
melanoma,SGLT2,0
autism,AP-1,1
kidney_cancer,BRD4,2
breast_cancer,IL-13,0
melanoma,CDK6,1
fibromyalgia,mTOR,0
bipolar_disorder,TIM3,1
hiv_aids,CDK6,1
hypertension,VEGF,1
heart_failure,HER3,2
atherosclerosis,ER_beta,2
liver_cancer,IL-4,0
gout,ROS1,2
liver_cancer,ERK,2
obesity,VEGFR,1
hyperlipidemia,CD38,0
hyperlipidemia,STAT,1
osteoporosis,IGF1R,0
colon_cancer,PD-L1,1
asthma,CD22,0
coronary_artery_disease,LAG3,1
myocardial_infarction,IL-13,1
schizophrenia,PDGFR,0
als,CD22,1
hypertension,VEGFR,0
kidney_cancer,MEK,1
adhd,GABA_B,2
crohns_disease,PD-1,2
kidney_disease,VEGF,1
esophageal_cancer,CDK4,1
coronary_artery_disease,PR,2
ulcerative_colitis,5-HT1A,1
stroke,AKT,0
melanoma,HDAC,0
hepatitis_c,ROS1,2
bladder_cancer,OX40,2
chronic_pain,CD33,1
covid_19,GABA_B,1
parkinsons,ERK,2
esophageal_cancer,HDAC,0
migraine,MR,2
psoriasis,CD30,1
autism,HGF,0
hepatitis_b,TGF_beta,0
bipolar_disorder,TOP2,0
autism,AMPA,2
bipolar_disorder,PD-L1,0
stroke,ERK,1
sepsis,FGFR,1
ovarian_cancer,DNMT,0
pneumonia,Hedgehog,1
schizophrenia,AR,1
breast_cancer,BCMA,1
lupus,CD20,1
epilepsy,PI3K,1
parkinsons,D2,1
hiv_aids,BRAF,1
