indication,target,molecular_weight,logP,traditional_time_years
melanoma,HER4,489.7,2.86,12.33
lymphoma,IL-4,501.8,4.52,10.62
arthritis,MYC,431.3,2.77,9.61
hepatitis_c,TOP1,576.3,3.77,9.54
coronary_artery_disease,GLP-1R,412.4,3.54,8.88
psoriasis,BRD4,412.9,2.53,9.5
autism,PDGFR,469.4,1.09,12.89
hyperlipidemia,ROS1,312.0,2.44,8.65
atherosclerosis,c-MET,369.0,3.31,7.8
bipolar_disorder,ROS1,377.4,1.59,13.05
pneumonia,Wnt,567.3,2.77,12.44
stomach_cancer,MYC,455.4,1.58,14.16
schizophrenia,Wnt,406.4,3.11,13.44
kidney_cancer,TOP2,357.9,3.38,13.86
liver_cancer,DNMT,401.9,2.71,14.31
parkinsons,NF-kB,401.9,4.85,12.47
colon_cancer,PD-L1,448.9,1.94,15.31
hiv_aids,CEA,515.8,1.78,7.39
brain_cancer,FGFR,466.7,1.04,12.7
tuberculosis,RAS,343.7,3.2,9.86
breast_cancer,VEGFPARP,509.1,3.17,12.71
psoriasis,VEGFPARP,440.7,2.7,9.22
autism,TNF_alpha,331.7,2.28,12.11
arthritis,MYC,413.1,4.06,9.88
insomnia,EGFR,477.5,1.24,10.38
melanoma,CEA,475.9,2.61,13.99
kidney_cancer,PD-1,395.8,3.61,13.85
kidney_disease,c-MET,532.5,3.93,11.96
cervical_cancer,mTOR,382.9,2.69,13.09
insomnia,MYC,476.5,3.98,11.07
cardiomyopathy,CD22,411.7,2.81,11.43
chronic_pain,D2,361.5,1.8,8.1
psoriasis,HER3,515.0,4.36,10.81
stomach_cancer,Hedgehog,444.2,4.0,10.65
fibromyalgia,PD-1,478.9,2.35,9.09
cervical_cancer,EGF,478.9,4.54,13.01
leukemia,NTRK,447.1,4.56,14.09
bladder_cancer,NF-kB,240.4,3.82,12.78
lymphoma,PD-L1,457.0,2.7,11.84
sepsis,PD-L1,457.3,1.01,13.63
leukemia,FGFR,432.4,3.36,12.24
brain_cancer,PD-1,568.2,2.48,10.49
hiv_aids,IGF1R,385.3,2.5,8.0
pneumonia,OX40,523.2,3.33,8.93
kidney_disease,MEK,407.6,3.51,8.36
kidney_cancer,HGF,457.8,3.97,12.27
