indication,target,molecular_weight,logP,toxicity_label
colorectal_cancer,5-HT1A,489.737,2.862,0
melanoma,GLP-1R,361.05,3.319,0
lymphoma,EGFR,576.337,3.767,0
colorectal_cancer,mTOR,403.53,2.475,0
colon_cancer,PD1,469.357,1.087,0
breast_cancer,5-HT1A,515.316,1.476,0
colon_cancer,GIPR,377.358,1.588,0
lymphoma,VEGF,399.642,3.598,0
asthma,mTOR,406.449,3.111,0
lung_cancer,mTOR,401.98,3.947,0
psoriasis,GLP-1R,401.863,4.852,0
rheumatoid_arthritis,HER2,407.308,2.994,1
asthma,GABA_A,515.804,1.779,0
psoriasis,NMDA,672.265,4.194,0
melanoma,EGFR,509.077,3.171,0
lung_cancer,NMDA,369.273,1.417,0
colorectal_cancer,BRAF,413.149,4.057,0
prostate_cancer,D2,359.556,3.134,0
ovarian_cancer,PD-1,395.846,3.612,0
melanoma,ALK,496.57,3.888,1
rheumatoid_arthritis,mTOR,382.863,2.691,0
colorectal_cancer,PD-L1,329.348,4.1,0
colon_cancer,mTOR,361.493,1.804,0
migraine,PD-1,516.784,3.297,1
lung_cancer,BRAF,478.931,2.355,1
breast_cancer,GLP-1R,569.635,3.338,0
migraine,BRAF,240.42,3.822,0
lymphoma,D2,336.5,4.042,0
prostate_cancer,HER2,432.426,3.357,1
rheumatoid_arthritis,PD-1,386.859,3.744,0
depression,PD-1,385.321,2.498,1
ovarian_cancer,GIPR,490.116,4.158,1
melanoma,BRAF,407.619,3.513,1
depression,mTOR,559.749,3.176,1
lymphoma,GABA_A,393.836,2.672,0
rheumatoid_arthritis,PD-L1,551.899,2.708,1
melanoma,mTOR,450.409,2.765,0
lymphoma,NMDA,418.359,2.711,0
breast_cancer,GLP-1R,437.097,3.404,0
breast_cancer,NMDA,374.555,4.404,1
prostate_cancer,HER2,296.498,2.973,0
colon_cancer,GIPR,458.188,2.567,0
obesity,GIPR,434.611,3.302,0
schizophrenia,PD-L1,477.186,2.993,0
rheumatoid_arthritis,EGFR,541.426,3.752,0
melanoma,EGFR,385.854,4.384,1
lymphoma,mTOR,496.949,5.19,0
melanoma,PD1,410.525,3.923,0
prostate_cancer,PD-1,457.972,2.497,1
lymphoma,EGFR,450.732,2.634,0
type2_diabetes,TNF_alpha,365.016,3.474,1
colon_cancer,ALK,499.644,2.839,0
colorectal_cancer,EGFR,387.34,2.678,1
depression,PD1,421.46,3.556,0
colon_cancer,PD-L1,468.197,4.307,1
prostate_cancer,SGLT2,424.041,2.794,1
type2_diabetes,HER2,470.791,3.782,0
asthma,D2,553.952,2.133,1
melanoma,NMDA,470.039,3.346,1
colorectal_cancer,IL-6,468.103,3.847,0
psoriasis,GABA_A,473.446,2.286,0
rheumatoid_arthritis,5-HT1A,463.987,1.783,0
melanoma,VEGF,354.696,3.657,0
depression,VEGF,389.906,1.87,0
colorectal_cancer,IL-6,527.07,3.413,1
type2_diabetes,GIPR,380.589,3.146,0
copd,PD-1,378.839,2.184,1
depression,mTOR,520.294,2.76,0
type2_diabetes,5-HT1A,451.04,4.454,1
obesity,TNF_alpha,337.488,2.965,1
asthma,D2,364.329,3.482,1
ovarian_cancer,IL-6,440.069,3.74,1
lymphoma,ALK,382.257,1.485,1
lymphoma,BRAF,375.916,2.487,0
colon_cancer,TNF_alpha,463.854,3.385,1
colon_cancer,mTOR,468.476,2.191,1
copd,EGFR,454.657,1.857,1
schizophrenia,mTOR,519.796,4.066,1
depression,HER2,339.786,2.062,1
type2_diabetes,PD1,474.356,3.257,1
lung_cancer,mTOR,491.204,6.0,1
lung_cancer,IL-6,556.471,3.988,1
prostate_cancer,PD-1,424.778,3.759,1
rheumatoid_arthritis,VEGF,463.202,2.144,0
rheumatoid_arthritis,D2,635.173,1.133,0
lymphoma,GLP-1R,416.837,3.08,0
colon_cancer,NMDA,412.245,4.089,0
asthma,mTOR,574.83,3.129,0
lymphoma,GLP-1R,391.571,3.216,0
asthma,BRAF,641.123,4.843,1
breast_cancer,GLP-1R,287.989,3.186,0
colon_cancer,ALK,414.44,1.331,0
obesity,BRAF,490.399,3.866,0
type2_diabetes,GLP-1R,423.26,2.682,0
melanoma,TNF_alpha,591.236,3.405,1
lung_cancer,mTOR,480.184,4.651,1
copd,TNF_alpha,328.45,2.516,0
lymphoma,TNF_alpha,431.009,4.872,0
psoriasis,GIPR,190.699,1.976,0
colorectal_cancer,D2,290.403,1.7,0
psoriasis,PD-1,414.796,3.131,1
psoriasis,PD1,454.681,5.348,1
rheumatoid_arthritis,ALK,371.479,3.462,0
colorectal_cancer,ALK,433.803,3.061,1
prostate_cancer,NMDA,459.081,3.662,0
colorectal_cancer,GLP-1R,400.789,5.111,1
lung_cancer,GIPR,437.857,3.588,1
rheumatoid_arthritis,EGFR,411.085,3.208,0
psoriasis,GABA_A,402.851,3.85,0
melanoma,SGLT2,526.161,4.453,1
lymphoma,BRAF,515.029,3.63,0
rheumatoid_arthritis,mTOR,494.139,2.29,0
colorectal_cancer,ALK,448.328,3.117,0
asthma,BRAF,396.464,4.162,1
lymphoma,GABA_A,432.586,4.099,1
psoriasis,TNF_alpha,417.367,3.262,1
schizophrenia,GIPR,554.438,3.021,0
prostate_cancer,ALK,430.862,3.854,0
depression,PD-L1,475.933,2.87,1
asthma,PD-L1,602.985,4.065,1
melanoma,SGLT2,369.519,1.786,0
migraine,PD1,511.654,3.667,1
schizophrenia,EGFR,449.02,2.103,0
lung_cancer,IL-6,282.799,4.77,1
lung_cancer,ALK,383.96,2.679,0
breast_cancer,NMDA,499.107,4.358,0
breast_cancer,ALK,469.597,2.493,0
schizophrenia,VEGF,494.729,3.873,0
type2_diabetes,GABA_A,334.153,1.593,0
breast_cancer,VEGF,396.862,4.36,0
colon_cancer,GABA_A,474.873,4.475,1
colon_cancer,BRAF,425.814,2.995,0
lymphoma,PD-L1,475.817,2.173,1
colorectal_cancer,GLP-1R,489.415,3.089,0
breast_cancer,BRAF,505.212,2.599,0
psoriasis,VEGF,455.572,3.984,1
obesity,HER2,457.814,2.227,1
lung_cancer,NMDA,632.061,3.406,1
lymphoma,HER2,622.255,2.233,1
prostate_cancer,EGFR,441.125,3.976,1
migraine,SGLT2,382.822,2.401,0
obesity,BRAF,532.608,1.19,0
asthma,SGLT2,477.34,4.876,0
colorectal_cancer,BRAF,495.708,3.971,0
lung_cancer,VEGF,344.381,4.831,1
melanoma,EGFR,444.111,2.718,1
ovarian_cancer,BRAF,312.949,4.354,1
lymphoma,PD-1,472.051,3.279,1
migraine,GABA_A,322.446,2.401,0
rheumatoid_arthritis,mTOR,470.751,3.302,1
